file,line,type,commit,author,date,time,timezone,datetime,depth,length
src\style.css,54,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,44
src\style.css,55,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,70
src\style.css,56,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,57,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,58,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,22
src\style.css,59,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,48
src\style.css,60,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,61,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,62,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,20
src\style.css,63,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,34
src\style.css,64,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,14
src\style.css,65,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,66,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,24
src\style.css,67,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,11
src\style.css,68,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,22
src\style.css,69,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,70,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,6
src\style.css,71,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,18
src\style.css,72,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,3
src\style.css,73,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,12
src\style.css,74,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,75,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,5
src\style.css,76,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,33
src\style.css,77,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,53
src\style.css,78,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,28
src\style.css,79,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,80,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,11
src\style.css,81,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,32
src\style.css,82,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,49
src\style.css,83,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,84,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,14
src\style.css,85,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,39
src\style.css,86,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,87,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,88,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,3
src\style.css,89,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,28
src\style.css,90,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,91,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,92,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,10
src\style.css,93,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,25
src\style.css,94,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,72
src\style.css,95,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,28
src\style.css,96,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,27
src\style.css,97,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,98,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,99,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,7
src\style.css,100,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,25
src\style.css,101,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,26
src\style.css,102,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,40
src\style.css,103,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,29
src\style.css,104,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,105,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,106,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,10
src\style.css,107,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,22
src\style.css,108,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,109,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,110,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,3
src\style.css,111,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,28
src\style.css,112,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,113,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,22
src\style.css,114,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,29
src\style.css,115,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,31
src\style.css,116,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,117,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\style.css,118,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,7
src\style.css,119,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,29
src\style.css,120,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,53
src\style.css,121,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,31
src\style.css,122,css,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,0
src\style.css,123,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,6
src\style.css,124,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,56
src\style.css,125,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,33
src\style.css,126,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,1,41
src\style.css,127,css,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\app.html,1,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,14
src\app.html,2,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,0,15
src\app.html,3,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,1,5
src\app.html,4,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,2,23
src\app.html,5,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,2,56
src\app.html,6,html,0fe257d,Jhonny,2025-03-20,12:45:09,-03:00,2025-03-20T12:45:09-03:00,2,52
src\app.html,7,html,419ce6a5,Jhonny,2025-04-03,12:41:07,-03:00,2025-04-03T12:41:07-03:00,2,15
